step,vm,file,where,latency,vm_cache_size,host_cache_size,thread_id
0,0,J,disk,16,3,2,VM-0
1,0,E,disk,16,3,2,VM-0
2,0,H,disk,16,3,2,VM-0
3,1,H,host,5,3,2,VM-1
4,2,G,disk,16,3,2,VM-2
5,0,B,disk,16,3,2,VM-0
6,1,A,disk,16,3,2,VM-1
7,1,G,disk,16,3,2,VM-1
8,2,A,disk,16,3,2,VM-2
9,2,H,disk,16,3,2,VM-2
10,1,D,disk,16,3,2,VM-1
11,2,B,disk,16,3,2,VM-2
12,1,A,vm,1,3,2,VM-1
13,0,A,disk,16,3,2,VM-0
14,2,I,disk,16,3,2,VM-2
15,0,G,disk,16,3,2,VM-0
16,2,D,disk,16,3,2,VM-2
17,1,A,vm,1,3,2,VM-1
18,2,D,vm,1,3,2,VM-2
19,1,H,disk,16,3,2,VM-1
20,2,D,vm,1,3,2,VM-2
21,1,D,vm,1,3,2,VM-1
22,2,D,vm,1,3,2,VM-2
23,1,E,disk,16,3,2,VM-1
24,0,G,vm,1,3,2,VM-0
25,2,B,vm,1,3,2,VM-2
26,0,E,disk,16,3,2,VM-0
27,0,F,disk,16,3,2,VM-0
28,2,I,vm,1,3,2,VM-2
29,1,I,disk,16,3,2,VM-1
30,2,D,vm,1,3,2,VM-2
31,1,E,vm,1,3,2,VM-1
32,2,H,disk,16,3,2,VM-2
33,2,G,disk,16,3,2,VM-2
34,2,A,disk,16,3,2,VM-2
35,1,D,disk,16,3,2,VM-1
36,2,G,vm,1,3,2,VM-2
37,1,C,disk,16,3,2,VM-1
38,1,I,vm,1,3,2,VM-1
39,2,F,disk,16,3,2,VM-2
40,0,H,disk,16,3,2,VM-0
41,2,I,disk,16,3,2,VM-2
42,0,C,disk,16,3,2,VM-0
43,2,G,disk,16,3,2,VM-2
44,1,H,disk,16,3,2,VM-1
45,2,A,disk,16,3,2,VM-2
46,1,A,disk,16,3,2,VM-1
47,1,J,disk,16,3,2,VM-1
48,2,J,disk,16,3,2,VM-2
49,1,C,disk,16,3,2,VM-1
